nameOrig,last_step,Frequency,MonetarySum,MonetaryAvg,Recency,R_Score,F_Score,M_Score,RFM_Total,Segment
C1000174363,402,5,1039140.903689666,207828.1807379332,404,4,4,4,12,Champions (핵심 VIP)
C1001220236,466,5,303355.8123766104,60671.16247532208,340,4,4,4,12,Champions (핵심 VIP)
C1002264229,350,5,536596.4910407796,107319.29820815593,456,4,4,4,12,Champions (핵심 VIP)
C1002418797,403,5,432229.228343922,86445.8456687844,403,4,4,4,12,Champions (핵심 VIP)
C100243332,303,4,773970.5657306082,193492.64143265205,503,3,4,4,11,Champions (핵심 VIP)
C1003187286,418,4,531939.051125073,132984.76278126825,388,4,4,4,12,Champions (핵심 VIP)
C1004295532,562,3,50703.120354919636,16901.040118306544,244,4,4,3,11,Champions (핵심 VIP)
C1004562219,333,3,423291.7019583393,141097.2339861131,473,3,4,4,11,Champions (핵심 VIP)
C1005681532,330,3,446903.17484386143,148967.7249479538,476,3,4,4,11,Champions (핵심 VIP)
C1005774807,255,4,1086708.3407798335,271677.0851949584,551,3,4,4,11,Champions (핵심 VIP)
C1006534704,356,5,134651.37799753682,26930.275599507364,450,4,4,3,11,Champions (핵심 VIP)
C1006631920,451,3,417083.36827553256,139027.78942517753,355,4,4,4,12,Champions (핵심 VIP)
C1007397961,468,4,1430508.5565383637,357627.1391345909,338,4,4,4,12,Champions (핵심 VIP)
C1009039935,404,3,135250.7422475434,45083.580749181136,402,4,4,3,11,Champions (핵심 VIP)
C1009804263,419,5,48678.166754891805,9735.633350978362,387,4,4,3,11,Champions (핵심 VIP)
C1010627948,257,5,465352.80569985294,93070.56113997058,549,3,4,4,11,Champions (핵심 VIP)
C1010841066,393,4,289224.30359445896,72306.07589861474,413,4,4,4,12,Champions (핵심 VIP)
C1010933178,445,3,638485.3203925062,212828.4401308354,361,4,4,4,12,Champions (핵심 VIP)
C1011665365,329,5,607929.8783506171,121585.97567012343,477,3,4,4,11,Champions (핵심 VIP)
C1011942508,282,4,632900.5838483336,158225.1459620834,524,3,4,4,11,Champions (핵심 VIP)
C1012128627,374,4,169279.94740582973,42319.986851457434,432,4,4,3,11,Champions (핵심 VIP)
C1012871607,400,3,128201.63816424701,42733.879388082336,406,4,4,3,11,Champions (핵심 VIP)
