Brand Name,Type,Size,Brand Size,Chest(cm),Front Length(cm),Across Shoulder(cm)
Roadster, Cotton,38, S,100.3,73.7,43.2
Roadster, Cotton,40,M,107.4,74.7,45.2
Roadster, Cotton,42,L,115.1,74.7,45.2
Roadster, Cotton,44,XL,122.7,76.5,49
Roadster, Cotton,46,XXL,130.3,82,50.8
Roadster, Cotton,48,3XL,137.9,79.8,52.8
WROGN, Cotton,39,S,104.1,71.1,40.6
WROGN, Cotton,40,M,109.2,73.7,43.2
WROGN, Cotton,42,L,115.6,74.4,45.2
WROGN, Cotton,44,XL,121.9,77.5,47
WROGN, Cotton,46,XXL,129.5,78.7,49
WROGN,Polyster,39,S,107.4,73.7,41.9
WROGN,Polyster,40,M,112.5,74.9,43.9
WROGN,Polyster,42,L,117.6,76.2,45.7
WROGN,Polyster,44,XL,122.7,77.5,47.8
WROGN,Polyster,46,XXL,127.8,78.7,49.5
Dennis Lingo, Cotton,38,S,99.1,71.1,43.2
Dennis Lingo, Cotton,40,M,104.1,73.7,44.5
Dennis Lingo, Cotton,42,L,109.2,74.9,45.7
Dennis Lingo, Cotton,44,XL,114.3,76.2,47
Dennis Lingo, Cotton,46,XXL,119.4,77.5,48.3
Highlander, Cotton,39,S,104.1,73.7,47
Highlander, Cotton,40,M,106.7,73.7,47.8
Highlander, Cotton,42,L,111.8,74.9,49
Highlander, Cotton,44,XL,116.8,76.2,50.3
Highlander, Cotton,46,XXL,121.9,77.5,51.6
Campus Sutra, Cotton,38,S,96.5,71.1,44.5
Campus Sutra, Cotton,40,M,101.6,72.4,45.7
Campus Sutra, Cotton,42,L,106.7,73.7,47
Campus Sutra, Cotton,44,XL,111.8,76.2,48.3
 The Indian Garage, Cotton,39,S,99.1,73.2,42.7
 The Indian Garage, Cotton,40,M,104.1,74.9,44.5
 The Indian Garage, Cotton,42,L,109.2,77,46.5
 The Indian Garage, Cotton,44,XL,114.3,78.7,48.3
 The Indian Garage, Cotton,46,XXL,119.4,79.5,50.3
INVICTUS, Cotton,38,S,100.1,77.2,44.5
INVICTUS, Cotton,39,M,102.9,77.2,45.2
INVICTUS, Cotton,40,L,106.2,77.2,46
INVICTUS, Cotton,42,XL,111.3,79,47.8
INVICTUS, Cotton,44,XXL,119.3,79,49
The Bear House, Cotton,38,S,99.1,73.7,42.7
The Bear House, Cotton,40,M,101.6,74.7,44.2
The Bear House, Cotton,42,L,106.7,75.9,45.2
The Bear House, Cotton,44,XL,111.8,77,47
The Bear House, Cotton,46,XXL,116.8,78.5,49.5
United Colors of Benetto, Cotton,38,S,101.1,72.9,42.9
United Colors of Benetto, Cotton,40,M,106.9,74.9,45
United Colors of Benetto, Cotton,42,L,113,77,47
United Colors of Benetto, Cotton,44,XL,119.1,79,49
United Colors of Benetto, Cotton,46,EL,125,81,50
United Colors of Benetto, Cotton,48,KL,131.1,83.1,52.1
US POLO, Cotton,38, S,100.3,71.9,43.2
US POLO, Cotton,40, M,106.2,73.7,45.7
US POLO, Cotton,42,L,114.3,75.7,48.3
US POLO, Cotton,44,XL,120.1,78.7,50.8
US POLO, Cotton,46,XXL,128.3,80.3,54.1
US POLO, Cotton,48,TXL,134.4,82.3,55.9
LOCOMOTIVE, Cotton,39,S,106.7,74.9,45.7
LOCOMOTIVE, Cotton,40,M,111.8,76.2,47.8
