nameOrig,last_step,Frequency,MonetarySum,MonetaryAvg,Recency,R_Score,F_Score,M_Score,RFM_Total,Segment,isFraud_Actual,Anomaly_Score,Is_Anomaly
C1532133350,469,5,68570606.69608063,13714121.339216124,337,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C3382653,399,4,55249870.7064435,13812467.676610876,407,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C2056387056,423,5,49917696.32708621,9983539.265417242,383,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C2137629092,471,5,49647316.93468238,9929463.386936475,335,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C222893403,379,4,42790064.0989384,10697516.0247346,427,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1648940239,349,3,42545876.09320921,14181958.697736403,457,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C11018848,373,3,38880285.41205206,12960095.137350686,433,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1085215248,376,4,38789941.06320176,9697485.26580044,430,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1041279319,283,1,36973901.85,36973901.85,523,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C1442673049,303,1,36550614.18,36550614.18,503,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1047232372,303,1,36115106.82,36115106.82,503,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C2145280837,285,1,29774652.28,29774652.28,521,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C436406406,297,1,25990087.35,25990087.35,509,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C559758720,322,4,23367000.01856082,5841750.004640205,484,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1747509385,442,4,22215045.38700204,5553761.34675051,364,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1900381215,475,4,21467936.443392914,5366984.110848228,331,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1335787735,299,1,18992905.09,18992905.09,507,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C314740639,301,1,18576039.85,18576039.85,505,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C398905635,376,3,18292711.77746388,6097570.59248796,430,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C864519365,301,1,17271014.73,17271014.73,505,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C977638033,300,1,16628544.37,16628544.37,506,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C834389977,321,1,16407991.16,16407991.16,485,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C448636896,274,1,16344447.92,16344447.92,532,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1507848494,300,1,16226297.58,16226297.58,506,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C20830562,326,1,15901689.47,15901689.47,480,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C363028860,426,4,15839848.436313454,3959962.1090783635,380,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1759748566,326,1,15317239.16,15317239.16,480,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C329129505,297,1,15137042.56,15137042.56,509,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1738888087,325,1,14963247.08,14963247.08,481,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C346533775,302,1,14600814.65,14600814.65,504,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1023903629,283,1,14542671.97,14542671.97,523,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C662971535,288,1,14458741.23,14458741.23,518,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1998644906,358,3,14259352.286922343,4753117.428974114,448,4,4,4,12,Champions (핵심 VIP),1.0,-1,이상 거래 의심
C1211694311,302,1,13936969.09,13936969.09,504,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C1524903518,312,1,13568676.03,13568676.03,494,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1941148548,451,5,13555418.676423738,2711083.7352847476,355,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C2012229678,597,4,13311515.73574613,3327878.9339365326,209,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1581671762,301,1,13274324.83,13274324.83,505,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C258516890,322,1,12592604.38,12592604.38,484,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C270570646,326,1,12331239.09,12331239.09,480,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C788657460,397,5,12263123.716466596,2452624.7432933194,409,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C202536143,304,1,12029222.6,12029222.6,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C773657746,394,4,11561980.43852486,2890495.109631215,412,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C309123290,326,1,11359293.0,11359293.0,480,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C2024036215,326,1,11354188.67,11354188.67,480,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C188534650,304,1,11060358.9,11060358.9,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1969366967,400,5,10995508.828366628,2199101.7656733254,406,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1987249296,322,1,10925239.68,10925239.68,484,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C358546790,300,1,10895052.37,10895052.37,506,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1803111508,327,1,10893697.21,10893697.21,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C533804707,279,1,10835859.55,10835859.55,527,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C249388634,205,4,10661019.508596761,2665254.8771491903,601,2,4,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1022833887,307,4,10438055.30502417,2609513.8262560423,499,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1774602596,326,1,10432705.09,10432705.09,480,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1584111180,118,3,10392904.126030311,3464301.375343437,688,1,4,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C201536161,610,5,10315701.824721538,2063140.3649443076,196,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1687412018,323,1,10206060.88,10206060.88,483,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C47060392,301,1,10189810.91,10189810.91,505,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1068543561,449,5,10179879.00028986,2035975.8000579719,357,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C102189206,304,1,10000000.0,10000000.0,502,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C1821856742,305,1,10000000.0,10000000.0,501,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1811596914,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C779675782,327,1,10000000.0,10000000.0,479,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1815840597,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C785628137,305,1,10000000.0,10000000.0,501,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1170479266,304,1,10000000.0,10000000.0,502,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C17504621,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1768913208,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1965389823,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1102160258,304,1,10000000.0,10000000.0,502,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C920820268,304,1,10000000.0,10000000.0,502,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C874583026,304,1,10000000.0,10000000.0,502,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1866213812,305,1,10000000.0,10000000.0,501,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C464709198,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C878568688,305,1,10000000.0,10000000.0,501,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1889901787,359,1,10000000.0,10000000.0,447,4,3,4,11,Champions (핵심 VIP),1.0,-1,이상 거래 의심
C42386371,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C441024194,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C2049766696,348,1,10000000.0,10000000.0,458,4,3,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C172197438,327,1,10000000.0,10000000.0,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1624895979,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C6288954,327,1,10000000.0,10000000.0,479,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C656302652,305,1,10000000.0,10000000.0,501,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C230735833,305,1,10000000.0,10000000.0,501,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C657859825,328,1,10000000.0,10000000.0,478,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C163789922,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1570343644,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C300667095,305,1,10000000.0,10000000.0,501,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1547392686,328,1,10000000.0,10000000.0,478,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1500794639,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1495259203,328,1,10000000.0,10000000.0,478,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1277444235,328,1,10000000.0,10000000.0,478,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C229693932,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C230045242,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C215641142,305,1,10000000.0,10000000.0,501,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1653167866,328,1,10000000.0,10000000.0,478,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1186456143,304,1,10000000.0,10000000.0,502,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C1209251841,327,1,10000000.0,10000000.0,479,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C660422547,305,1,10000000.0,10000000.0,501,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
