nameOrig,last_step,Frequency,MonetarySum,MonetaryAvg,Recency
C1000009135,19,0,0.0,0.0,787
C1000015836,163,1,77027.49,77027.49,643
C1000018718,138,1,32100.16,32100.16,668
C100006663,15,0,0.0,0.0,791
C1000071455,42,0,0.0,0.0,764
C1000075512,187,1,29971.59,29971.59,619
C100010044,140,1,15198.23,15198.23,666
C1000110712,307,1,230035.73,230035.73,499
C1000122051,235,1,36167.88,36167.88,571
C1000128758,255,1,520401.49,520401.49,551
C1000144156,371,1,237276.63,237276.63,435
C100014752,351,1,222911.63,222911.63,455
C1000147830,256,1,15619.7,15619.7,550
C1000174363,402,5,1039140.903689666,207828.1807379332,404
C1000188239,347,1,227179.0,227179.0,459
C1000203728,38,0,0.0,0.0,768
C1000204307,252,1,418889.16,418889.16,554
C1000210704,131,1,128872.48,128872.48,675
C1000256268,229,1,690.65,690.65,577
C1000263382,185,3,700879.7707203296,233626.59024010986,621
C1000271888,612,1,427779.69,427779.69,194
C1000326094,331,1,75382.62,75382.62,475
C1000329334,285,1,63404.96,63404.96,521
C1000332040,135,1,14507.83,14507.83,671
C1000344498,404,1,137886.6,137886.6,402
C1000367967,283,1,135193.44,135193.44,523
C1000410166,137,1,53748.2,53748.2,669
C1000412119,165,1,98875.63,98875.63,641
C1000429717,380,1,108306.5,108306.5,426
C1000431259,135,1,28399.19,28399.19,671
C1000432352,105,2,30155.998832813442,15077.999416406721,701
C1000442951,352,1,146953.48,146953.48,454
C1000462180,237,1,23551.21,23551.21,569
C1000462687,397,1,23345.07,23345.07,409
C1000509254,161,1,149044.25,149044.25,645
C1000511083,15,0,0.0,0.0,791
C100052651,186,1,160455.03,160455.03,620
C1000534589,322,1,92790.34,92790.34,484
C1000542694,37,0,0.0,0.0,769
C1000588380,297,1,38289.49,38289.49,509
C1000595798,258,1,123078.91,123078.91,548
C1000599150,41,0,0.0,0.0,765
C1000607791,155,1,21216.41,21216.41,651
C1000610192,382,1,21723.59,21723.59,424
C1000610919,360,1,1653195.46,1653195.46,446
C1000630643,33,0,0.0,0.0,773
C1000637095,298,1,4626.66,4626.66,508
C1000639879,406,1,30769.53,30769.53,400
C100067827,41,0,0.0,0.0,765
C1000726894,18,0,0.0,0.0,788
C1000735423,8,0,0.0,0.0,798
C1000737677,594,1,114908.39,114908.39,212
